名称,链接,类型,卫生间,床数量,卧室数量,容纳人数,价格,评论数,特色,位置,出行信息,,,,
清远碧桂园   忙里偷闲的好去处,"https://www.airbnb.cn/rooms/31874126?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,最多住10人,618,0,"坐落于佛冈,山水环境得天独厚,背靠3万亩羊角山森林国家公园,空气净化指数是广州市区的8倍,楼盘周边餐饮,娱乐一应俱全｡绿道单车､儿童乐园､温泉会所､风情商业街､美食农庄样样具备｡","碧桂园内有个英伦小镇,都是一些欧式建筑,可以去走走逛逛,拍拍照｡

还有一个大的温泉谷,叫凤凰湾,需要买票进场,价格浮动,可以找管家代买｡距离碧桂园5分钟车程可到达森波拉温泉,森波拉奇妙世界(主要玩机动游戏,还有冰川水上世界),也可以找管家代买门票｡

附近还有观音山,田野绿,适合爬山看风景｡稍微远点的还有金龟池温泉,聚龙湾温泉｡

碧桂园距离黄腾峡漂流要一个半小时,古龙峡要两个小时","别墅内可以停放两台车,10元一台
是碧桂园的收费并非我们收",,,,
清远碧桂园/公寓/亲近大自然的地方,"https://www.airbnb.cn/rooms/31918720?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,3张床,3间卧室,最多住6人,368,0,"整个房子氛围温馨,光线充足｡窗外可见羊角山森林国家公园｡室内设施齐全,满足日常需求,配有自动麻将台供你们玩耍",,,,,,
趣墅清泉城·庐海墅6房10床KTV烧烤泳池温泉别墅适合团建聚会 轰趴度假,"https://www.airbnb.cn/rooms/32027119?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,5个卫生间,10张床,6间卧室,最多住15人,1680,0,"趣墅,全国领先的别墅度假品牌｡作为“趣味度假魔法师”的首倡者,我们希望为客人带来有趣而美好的度假体验｡无论是家庭度假､亲友聚会､公司欢聚,或是商务接待等,趣墅都能为你提供完美的度假地｡目前,趣墅已遍布华南热门旅游目的地,在线精品别墅超过1000栋,服务人次超过60万｡同时,趣墅也即将进驻三亚､杭州､成都､重庆等地,让更多人可以睡进有趣的度假别墅,躺进1000种理想生活里｡

清远佛冈碧桂园清泉城别墅,由碧桂园集团打造的大型度假新城,依山而建､全新装饰而成的私家别墅｡碧桂园·清泉城最大限度保留了地块原有的地形地貌,四周群山环抱,山色连绵｡别墅依山依势而筑,潺潺溪水蜿蜒其中,家家观景､户户亲水｡","【浈阳峡旅游小镇】位于清远英德市连江口镇北,是集旅游､住宿､餐饮､购物､会议､休闲娱乐为一体的多功能休闲度假区｡
【观音山王山寺】观音山为广东的八大名山之一,海拔1288米,是著名的佛教名山｡景区还有一系列的旅游项目｡
【上岳村】是一个有着720年历史的古村落｡它始建于宋代,于清朝达到鼎盛时期｡村内108座古民居掩卧在桔果树丛中,前塘后山的布局,蕴含着藏风纳水的寓意｡
【飞来峡】飞来峡风景区位于清远城上游20多公里的北江河段,是省级风景名胜区和旅游度假区,是道教第十九福地｡","佛冈碧桂园清泉城
广州出发:华南快速干线(或机场高速)---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城
佛山出发:北二环---京珠高速(北行)---佛冈出口---右转沿
106国道走5公里---碧桂园清泉城
东莞深圳出发:广深高速---北二环---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城",,,,
趣墅清泉城·逸林墅6房11床KTV烧烤温泉别墅<近森波拉温泉､英伦小镇> 适合团建聚会 轰趴度假,"https://www.airbnb.cn/rooms/32027771?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,5个卫生间,11张床,6间卧室,最多住15人,1680,0,"趣墅,全国领先的别墅度假品牌｡作为“趣味度假魔法师”的首倡者,我们希望为客人带来有趣而美好的度假体验｡无论是家庭度假､亲友聚会､公司欢聚,或是商务接待等,趣墅都能为你提供完美的度假地｡目前,趣墅已遍布华南热门旅游目的地,在线精品别墅超过1000栋,服务人次超过60万｡同时,趣墅也即将进驻三亚､杭州､成都､重庆等地,让更多人可以睡进有趣的度假别墅,躺进1000种理想生活里｡

清远佛冈碧桂园清泉城别墅,由碧桂园集团打造的大型度假新城,依山而建､全新装饰而成的私家别墅｡碧桂园·清泉城最大限度保留了地块原有的地形地貌,四周群山环抱,山色连绵｡别墅依山依势而筑,潺潺溪水蜿蜒其中,家家观景､户户亲水｡","【浈阳峡旅游小镇】位于清远英德市连江口镇北,是集旅游､住宿､餐饮､购物､会议､休闲娱乐为一体的多功能休闲度假区｡
【观音山王山寺】观音山为广东的八大名山之一,海拔1288米,是著名的佛教名山｡景区还有一系列的旅游项目｡
【上岳村】是一个有着720年历史的古村落｡它始建于宋代,于清朝达到鼎盛时期｡村内108座古民居掩卧在桔果树丛中,前塘后山的布局,蕴含着藏风纳水的寓意｡
【飞来峡】飞来峡风景区位于清远城上游20多公里的北江河段,是省级风景名胜区和旅游度假区,是道教第十九福地｡","佛冈碧桂园清泉城
广州出发:华南快速干线(或机场高速)---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城
佛山出发:北二环---京珠高速(北行)---佛冈出口---右转沿
106国道走5公里---碧桂园清泉城
东莞深圳出发:广深高速---北二环---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城",,,,
竹林农家乐 单间独栋 特色民宿,"https://www.airbnb.cn/rooms/32033335?s=lL8DwLxp&guests=1&adults=1
",农家乐里的独立房间,1个独立卫生间,2张床,1间卧室,最多住4人,188,0,,,,,,,
清远森波拉温泉公寓,"https://www.airbnb.cn/rooms/32070569?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,4张床,2间卧室,最多住4人,298,0,高层140平米两房两厅一厨一卫两阳台的房子休闲阳台､温馨气氛､冷暖空调､有冰箱等｡碧桂园附近有温泉♨附近有著名森波拉温泉 非常便捷!无论家庭出游､朋友小聚都能给您带来温暖美好的小旅程,周末节假日的吸氧好去处  附近有著名的森波拉温泉♨森林公园 英伦小镇,,,,,
英德连江口镇云海碱泉养生公馆·私家温泉·北江温泉.江景如画.全江景1幢1004房,"https://www.airbnb.cn/rooms/32079038?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,3张床,3间卧室,最多住6人,300,4,"此房位于英德连江口镇,北江边上｡主打温泉主题,是世界稀有碱性温泉,楼下有近二十个温泉池｡温泉旁,有无边际游泳池,与北江风光融为一体｡住宅入户花园配有私人温泉池,阳台和房间能看到一线江景｡私家温泉25元每方(每晚八点至十点供温泉水),公共温泉68元每人次,业主或业主朋友(能讲对房间号､业主姓名和电话为准)15元每人次,早中晚均开放｡有两套民宿,一套一线临江,风景如画;一套南北通透,北江风光｡沿江边步道慢行十多分钟,可到浈阳风景区,沿江水而下开车五分钟,可到大樟沙滩游乐场｡","从江边步道走十分钟可到浈阳峡风景区,沿江开车五分钟可到大樟沙滩游乐场｡","一般来说,开车前来最方便｡从机场高速到昌广高速,江口镇下高速,走国道直达｡全程一个半小时｡也可广州南坐高铁到英徳西站,打的约25分钟到达民宿｡",,,,
英德连江口镇云海碱泉养生公馆·私家温泉·北江温泉.南北通透.半江景2幢1602房,"https://www.airbnb.cn/rooms/32080516?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,3张床,3间卧室,最多住6人,250,4,"此民宿位于英德连江口镇,北江边｡主打温泉主题,有近二十个不同功能的温泉池,是世界稀有的碱性温泉｡温泉旁边有无边际游泳池,与连江风光融为一体｡住宅入户花园配有私人温泉池｡阳台和房间能看到一线江景｡室内温泉25元每立方,每晚八点至十点供温泉水｡公共温泉68元每人次,业主或业主朋友(以能说出房间号､业主姓名和手机号码为准)15元每人次,每天早中晚均开放｡共有二套民宿,一套一线江景,风景如画;一套南北通透,夏日清凉,北江风光｡",,,,,,
森波拉碧桂园一楼花园三房洋房,"https://www.airbnb.cn/rooms/32168471?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,4张床,3间卧室,最多住3人,580,0,,,,,,,
步行街单间公寓,"https://www.airbnb.cn/rooms/32179114?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,单间公寓,最多住2人,70,0,"这个房子重新装修布置,位于步行街,楼下就是吃逛一条街,还免费停车,适合出差商务","步行街就在隔壁,真是旺中带静",,,,,
恒大好自然优雅居,"https://www.airbnb.cn/rooms/32296869?s=lL8DwLxp&guests=1&adults=1
",整套房子,1间卫生间,2张床,2间卧室,最多住4人,398,0,"房屋位于清连高速龙颈出口右转一公里左右的恒大金碧天下园区内,面积83平方二房一厨一卫,全新简约风格装修设计,配有全屋冷暖空调,50寸电视机,冰箱,洗衣机,厨房设备齐全,为您商旅亲朋小聚增添温馨的感觉｡
房屋建议入住人数4~6人,不加床,如需更多房间请点击房东头像联系我","房屋位于森林覆盖率达百分之二十以上,空气清新宜人的恒大小区内,小区内有多个公园和儿童游乐场,毗邻恒大足球学校,古龙峡,清泉湾等多个旅游景点,园区内有休闲中心,运动中心等休闲娱乐场所,也有华润万家,农贸超市,也可到小区外两三公里的圩镇自购食材回家制作美味佳肴","园区内每天有多班楼巴往返于广州以太广场和清新体育馆,具体时间欢迎随时咨询,清远市区312公交车线路在恒大金碧天下(即小区门口)也有停靠站点,如有需要我也可以在小区门口迎接你们",,,,
【宝晶宫/温泉】英德/市中心/城市广场/复式公寓/100㎡,"https://www.airbnb.cn/rooms/32430350?s=lL8DwLxp&guests=1&adults=1
",整间Loft,1间卫生间,3张床,2间卧室,最多住6人,138,2,"房子位于英德市中心,小复式公寓,实用面积超过100平方米｡房东(小主)购置后,从复式楼层结构､水电设计(小主主修数学,学过物理)到后期软装设计都是亲自设计,用料十足｡现代化的风格,适合和朋友一起小聚(投影或大电视看球赛,配优质音响､IPTV直播)､给小朋友过生日会｡当然来英德旅行的您也建议考虑体验,这离英德宝晶宫10公里左右~~",,"1､自驾车的话,房子在英德市中心,英州大道边上,定位英德城市广场即可｡2､高铁站(英德西站),出站后滴滴,车程约12分钟,8公里,大概25块以内,当然可以公交车,2块｡",,,,
红尘碾-花园民宿,"https://www.airbnb.cn/rooms/32430377?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,8张床,4间卧室,最多住8人,3880,0,,,私家车自驾,,,,
宝晶宫附近英德市区现代风装修三房两厅两卫,"https://www.airbnb.cn/rooms/32685640?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,3张床,3间卧室,最多住6人,438,1,"房子是花园小区房,高层,室内装修简单好看,房子里面都是名牌的家具｡",家的感觉,"楼下有公交站台,去火车站､汽车站､高铁站都挺近的｡",,,,
清远/英德/英西峰林走廊/峰林里艺术空间,"https://www.airbnb.cn/rooms/32710529?s=lL8DwLxp&guests=1&adults=1
",度假村里的独立房间,1个独立卫生间,2张床,1间卧室,最多住4人,150,1,"房间最让我喜欢的是打开窗就仿佛在水上,在山边,有种在洱海边的错觉!因为我本身一直渴望田园牧歌的生活,当发现这里山水之间仿若在水墨画里,立即决定投入自己全部的热情打造一个舒适放松的空间,让来的朋友都能享受到自己喜欢的一段时光,在这里,可以喝着茶望着置身其中的山水发发呆,可以对着眼前的美景画一幅水墨丹青,可以在阳台享受垂钓的乐趣,可以围着篝火在田园里唱歌跳舞,可以出门沿着小赵州桥走一走广东驴友钟爱的徒步路线,一路欢歌笑语,我希望每一个房客都成为这个空间的朋友,也都互相成为朋友!","宁静的山水空间,雨后如置身水墨画中,清晨各种鸟鸣如置身音乐会,山水的倒影美到让人流连忘返!这里得到很多摄影发烧友的青睐!也有很多素描爱好者驻足,在这静静的一画就是一个下午......美妙幸福的空间邀你来赏!","自驾车游玩的客人可以直接导航到英德黄花镇黄花公园即可｡
如果坐公共交通工具游玩的客人,可以从各地的汽车站买到黄花镇的车票即可｡",,,,
英德市新天地120平三房两卫,"https://www.airbnb.cn/rooms/32733740?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,3张床,3间卧室,最多住6人,438,0,"房子本来是自住的,因为工作不在英德所以很少回来住想着空着也是空着才拿出来出租的｡全屋装修都是按照居家的装修｡","楼下200米左右有菜市场､新天地公园,公园里面有篮球场｡也可以去逛月桂湖公园｡",距离200米左右安居东门有4路公交车(城南市场~高铁站(英德西))､5路公交车(城西客运站~英德火车站)､6路公交车(大站政府~马口路口)､7路公交车(西庙~安居东门),,,,
望埠宝墩湖温泉度假酒店旁三房两卫简约风装修,"https://www.airbnb.cn/rooms/32747721?s=lL8DwLxp&guests=1&adults=1
",普通民宅里的独立房间,1个独立卫生间,3张床,3间卧室,最多住6人,438,0,"房子清新居家风格,居住舒适,房子家私家电齐全拎包入住｡距离望埠镇宝墩湖温泉小镇200米,距离望埠镇英石园800米,距离中国女足基地113一千五百米｡可以烧烤聚餐｡出行旅游不错的地方｡","距离望埠的各大景点的近,楼下有本地特色菜随时可以享用｡","从果宿出来走1500米到达车站再坐车到英德市区,英德市区有汽车站,火车站,轻轨站｡",,,,
清泉城碧桂园巴厘岛豪华9房14床温泉别墅,"https://www.airbnb.cn/rooms/32792331?s=lL8DwLxp&guests=1&adults=1
",城堡,1间卫生间,14张床,9间卧室,16位及更多房客,7880,0,,,,,,,
浛洸欢乐民宿,"https://www.airbnb.cn/rooms/32825224?s=lL8DwLxp&guests=1&adults=1
",公寓里的独立房间,2个独立卫生间,3张床,3间卧室,最多住6人,468,0,,,,,,,
近天门沟 湖蝶谷,"https://www.airbnb.cn/rooms/32825865?s=lL8DwLxp&guests=1&adults=1
",公寓里的独立房间,2个卫生间,3张床,3间卧室,最多住6人,469,0,,,,,,,
佛冈清泉城巴厘岛豪华别墅7房 带温泉､泳池,"https://www.airbnb.cn/rooms/32852577?s=lL8DwLxp&guests=1&adults=1
",度假村里的独立房间,3.5个共用卫生间,11张床,7间卧室,最多住14人,7800,0,"佛冈碧桂园内巴厘岛风格度假别墅7房11床内配套设施有厨房､泳池､温泉池､烧烤等设施,离白云机场约1.5小时车程,离珠三角约2小时内车程交通便利,周边有森波拉､观音山等景区",,,,,,
英德明珠步行街附近精装田园小清新风格两房,"https://www.airbnb.cn/rooms/32965273?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,338,0,"房子简单居家装修,朝南,标准的两房两厅｡干净､整洁｡","维港半岛小区环境好,有24小时保安巡逻｡进门也是需要刷卡的｡小区内有花园有游泳池｡","楼下有公交车站台10路公交15分钟可以到英德火车站,11路公交车可以到城西客运站､英德高铁站､英德火车站｡距离英德市汽车站步行800米｡",,,,
